Date,SalesRep,Product,Units,Price,Total Sales,City,State,Region,Day
11/22/2013,Rachel  Gomez,Nestle Milky Bar Stick,3,410,1230,Delhi,,,Friday
11/22/2013,Billie  Chandler,Nestle Nobbly Bobbly,2,222,444,Surat,,,Friday
11/22/2013,Rachel  Gomez,Nestle Aero Mint Potz,6,429,2574,Delhi,,,Friday
11/22/2013,Salvador  Bass,Nestle Toffee Crumble,3,383,1149,Goa,,,Friday
11/22/2013,Salvador  Bass,Nestle Rowntree Screamers,1,453,453,Goa,,,Friday
11/22/2013,Lorraine  Gibson,Nestle Aero Mint Potz,3,329,987,Kolkata,,,Friday
11/22/2013,Salvador  Bass,Nestle Kit Kat Cone,1,213,213,Goa,,,Friday
11/22/2013,Trevor  Jones,Nestle Kit Kat Cone,2,118,236,Pune,,,Friday
11/22/2013,Drew  Rogers,Nestle Rolo Potz,2,369,738,Delhi,,,Friday
11/22/2013,Drew  Rogers,Nestle Milky Bar Stick,3,253,759,Delhi,,,Friday
11/22/2013,Carla  Mccormick,Nestle Fab,3,467,1401,Varanasi,,,Friday
11/22/2013,Peter  Hodges,Nestle Fab,2,398,796,Shimla,,,Friday
11/22/2013,Jaime  Pearson,Nestle Rolo Potz,3,314,942,Jodhpur,,,Friday
11/22/2013,Isabel  Cross,Nestle Maxibon Cookie,1,392,392,Ranchi,,,Friday
11/22/2013,Christina  Fuller,Nestle Fab,2,365,730,Nagpur,,,Friday
11/22/2013,Donna  Reid,Nestle Aero Mint Potz,2,338,676,Goa,,,Friday
11/22/2013,Edwin  Malone,Nestle Aero Mint Potz,3,238,714,Kolkata,,,Friday
11/22/2013,Lee  Mack,Nestle Fab,3,213,639,Delhi,,,Friday
11/22/2013,Ernest  Davis,Nestle Fab,3,471,1413,Mumbai,,,Friday
11/22/2013,Drew  Rogers,Nestle Toffee Crumble,3,474,1422,Delhi,,,Friday
11/22/2013,Jenny  Garcia,Nestle Milky Bar Stick,2,211,422,Shimla,,,Friday
11/22/2013,Bobbie  Ryan,Nestle Aero Mint Potz,3,191,573,Darjeeling,,,Friday
11/22/2013,Willie  Vega,Nestle Toffee Crumble,2,200,400,Delhi,,,Friday
11/22/2013,Rachel  Gomez,Nestle Rowntree Fruit Pastil,1,380,380,Delhi,,,Friday
11/22/2013,Trevor  Jones,Nestle Fab,1,171,171,Pune,,,Friday
11/22/2013,Lorraine  Gibson,Nestle Kit Kat Cone,3,491,1473,Kolkata,,,Friday
11/22/2013,Lynette  Brewer,Nestle Fab,1,323,323,Varanasi,,,Friday
11/22/2013,Rachel  Gomez,Nestle Smarties Pop-Up,2,234,468,Delhi,,,Friday
11/22/2013,Cassandra  Franklin,Nestle Rowntree Screamers,3,466,1398,Delhi,,,Friday
11/22/2013,Mable  Lindsey,Nestle Toffee Crumble,25,174,4350,Ahmedabad,,,Friday
11/22/2013,Robert  Munoz,Nestle Toffee Crumble,1,296,296,Delhi,,,Friday
11/22/2013,Marion  Glover,Nestle Maxibon Cookie,3,308,924,Durgapur,,,Friday
11/22/2013,Mable  Lindsey,Nestle Maxibon Cookie,2,435,870,Ahmedabad,,,Friday
11/22/2013,Isabel  Cross,Nestle Maxibon Cookie,2,139,278,Ranchi,,,Friday
11/22/2013,Ernest  Davis,Nestle Nobbly Bobbly,1,392,392,Mumbai,,,Friday
11/22/2013,Cassandra  Franklin,Nestle Smarties Pop-Up,1,431,431,Delhi,,,Friday
11/23/2013,Eric  Rose,Nestle Rowntree Fruit Pastil,2,407,814,Mumbai,,,Saturday
11/23/2013,Jenny  Garcia,Nestle Smarties Pop-Up,3,245,735,Shimla,,,Saturday
11/23/2013,Bernadette  Page,Nestle Smarties Pop-Up,1,311,311,Delhi,,,Saturday
11/23/2013,Elbert  Klein,Nestle Maxibon Cookie,3,262,786,Cochin,,,Saturday
11/23/2013,Edwin  Malone,Nestle Fab,2,494,988,Kolkata,,,Saturday
11/23/2013,Cindy  Becker,Nestle Aero Mint Potz,1,268,268,Bangalore,,,Saturday
11/23/2013,Robert  Munoz,Nestle Milky Bar Stick,5,169,845,Delhi,,,Saturday
11/23/2013,Sandra  Floyd,Nestle Smarties Pop-Up,24,395,9480,Nainital,,,Saturday
11/23/2013,Carla  Mccormick,Nestle Toffee Crumble,19,490,9310,Varanasi,,,Saturday
11/23/2013,Isabel  Cross,Nestle Aero Mint Potz,24,149,3576,Ranchi,,,Saturday
11/23/2013,Max  Rodgers,Nestle Toffee Crumble,20,265,5300,Nagpur,,,Saturday
11/23/2013,Brooke  Horton,Nestle Fab,2,341,682,Nainital,,,Saturday
11/23/2013,Salvador  Bass,Nestle Smarties Pop-Up,5,348,1740,Goa,,,Saturday
11/23/2013,Brooke  Horton,Nestle Toffee Crumble,3,314,942,Nainital,,,Saturday
11/23/2013,Salvador  Bass,Nestle Milky Bar Stick,3,430,1290,Goa,,,Saturday
11/23/2013,Carla  Mccormick,Nestle Rolo Potz,1,441,441,Varanasi,,,Saturday
11/23/2013,Cassandra  Franklin,Nestle Maxibon Cookie,1,258,258,Delhi,,,Saturday
11/23/2013,Ben  Perez,Nestle Toffee Crumble,2,479,958,Goa,,,Saturday
11/23/2013,Brooke  Horton,Nestle Toffee Crumble,1,391,391,Nainital,,,Saturday
11/23/2013,Cecilia  Manning,Nestle Rolo Potz,2,135,270,Trivandrum,,,Saturday
11/23/2013,Herman  Williams,Nestle Fab,3,169,507,Darjeeling,,,Saturday
11/23/2013,Lance  Yates,Nestle Rolo Potz,3,391,1173,Srinagar,,,Saturday
11/23/2013,Shari  Silva,Nestle Rolo Potz,2,225,450,Mysore,,,Saturday
11/23/2013,Jaime  Pearson,Nestle Smarties Pop-Up,2,332,664,Jodhpur,,,Saturday
11/23/2013,Della  Jensen,Nestle Toffee Crumble,1,239,239,Patna,,,Saturday
11/23/2013,Felicia  Jennings,Nestle Maxibon Cookie,2,448,896,Pune,,,Saturday
11/23/2013,Andrew  Meyer,Nestle Toffee Crumble,3,287,861,Mumbai,,,Saturday
11/23/2013,Blake  Bridges,Nestle Rowntree Fruit Pastil,2,399,798,Cochin,,,Saturday
11/23/2013,Charlie  Wood,Nestle Milky Bar Stick,1,286,286,Agra,,,Saturday
11/23/2013,Don  Gonzales,Nestle Rolo Potz,1,324,324,Mysore,,,Saturday
11/23/2013,Edwin  Malone,Nestle Aero Mint Potz,2,216,432,Kolkata,,,Saturday
11/23/2013,Carla  Mccormick,Nestle Maxibon Cookie,2,411,822,Varanasi,,,Saturday
11/23/2013,Tiffany  May,Nestle Smarties Pop-Up,2,218,436,Agra,,,Saturday
11/23/2013,Pauline  Beck,Nestle Rolo Potz,3,152,456,Pune,,,Saturday
11/23/2013,Jenny  Garcia,Nestle Smarties Pop-Up,3,225,675,Shimla,,,Saturday
11/23/2013,Christy  Olson,Nestle Rowntree Fruit Pastil,1,127,127,Surat,,,Saturday
11/23/2013,Sonya  Mullins,Nestle Smarties Pop-Up,1,470,470,Kolkata,,,Saturday
11/23/2013,Peter  Hodges,Nestle Milky Bar Stick,2,181,362,Shimla,,,Saturday
11/23/2013,Isabel  Cross,Nestle Rowntree Fruit Pastil,2,334,668,Ranchi,,,Saturday
11/23/2013,Andrew  Meyer,Nestle Smarties Pop-Up,1,119,119,Mumbai,,,Saturday
11/23/2013,Rachel  Gomez,Nestle Rowntree Fruit Pastil,3,332,996,Delhi,,,Saturday
11/23/2013,Della  Jensen,Nestle Milky Bar Stick,3,237,711,Patna,,,Saturday
11/23/2013,Andrew  Meyer,Nestle Milky Bar Stick,1,414,414,Mumbai,,,Saturday
11/23/2013,Paulette  Spencer,Nestle Smarties Pop-Up,3,422,1266,Hyderabad,,,Saturday
11/23/2013,Peter  Hodges,Nestle Aero Mint Potz,3,366,1098,Shimla,,,Saturday
11/23/2013,Jenny  Garcia,Nestle Aero Mint Potz,2,137,274,Shimla,,,Saturday
11/23/2013,Max  Rodgers,Nestle Fab,4,483,1932,Nagpur,,,Saturday
11/23/2013,Rachel  Gomez,Nestle Aero Mint Potz,1,482,482,Delhi,,,Saturday
11/23/2013,Sandra  Floyd,Nestle Milky Bar Stick,4,195,780,Nainital,,,Saturday
11/23/2013,Cindy  Becker,Nestle Maxibon Cookie,3,423,1269,Bangalore,,,Saturday
11/23/2013,Eric  Rose,Nestle Aero Mint Potz,2,390,780,Mumbai,,,Saturday
11/23/2013,Cindy  Becker,Nestle Maxibon Cookie,2,222,444,Bangalore,,,Saturday
11/23/2013,Christy  Olson,Nestle Nobbly Bobbly,3,325,975,Surat,,,Saturday
11/23/2013,Della  Jensen,Nestle Smarties Pop-Up,2,330,660,Patna,,,Saturday
11/24/2013,Elaine  Ellis,Nestle Smarties Pop-Up,2,104,208,Hyderabad,,,Sunday
11/24/2013,Peter  Hodges,Nestle Rolo Potz,21,110,2310,Shimla,,,Sunday
11/24/2013,Joey  Wong,Nestle Kit Kat Cone,2,113,226,Goa,,,Sunday
11/24/2013,Eddie  Green,Nestle Nobbly Bobbly,2,119,238,Durgapur,,,Sunday
11/24/2013,Tiffany  May,Nestle Maxibon Cookie,1,423,423,Agra,,,Sunday
11/24/2013,Max  Rodgers,Nestle Milky Bar Stick,3,304,912,Nagpur,,,Sunday
11/24/2013,Donna  Reid,Nestle Rolo Potz,3,362,1086,Goa,,,Sunday
11/24/2013,Johanna  Boone,Nestle Smarties Pop-Up,2,137,274,Mysore,,,Sunday
11/24/2013,Willie  Vega,Nestle Milky Bar Stick,3,188,564,Delhi,,,Sunday
11/24/2013,Elvira  Bowman,Nestle Fab,3,358,1074,Srinagar,,,Sunday
11/24/2013,Drew  Rogers,Nestle Maxibon Cookie,2,465,930,Delhi,,,Sunday
11/24/2013,Isabel  Cross,Nestle Rolo Potz,17,322,5474,Ranchi,,,Sunday
11/24/2013,Guillermo  Potter,Nestle Kit Kat Cone,3,148,444,Nainital,,,Sunday
11/24/2013,Ernest  Davis,Nestle Milky Bar Stick,1,204,204,Mumbai,,,Sunday
11/24/2013,Lorraine  Gibson,Nestle Milky Bar Stick,3,410,1230,Kolkata,,,Sunday
11/24/2013,Dan  Peterson,Nestle Smarties Pop-Up,3,281,843,Shimla,,,Sunday
11/24/2013,Robert  Munoz,Nestle Rowntree Screamers,3,165,495,Delhi,,,Sunday
11/24/2013,Max  Rodgers,Nestle Toffee Crumble,13,235,3055,Nagpur,,,Sunday
11/24/2013,Sandra  Floyd,Nestle Rowntree Fruit Pastil,3,437,1311,Nainital,,,Sunday
11/24/2013,Drew  Rogers,Nestle Rowntree Fruit Pastil,1,125,125,Delhi,,,Sunday
11/24/2013,Max  Rodgers,Nestle Aero Mint Potz,3,450,1350,Nagpur,,,Sunday
11/24/2013,Tiffany  May,Nestle Aero Mint Potz,1,473,473,Agra,,,Sunday
11/24/2013,Rachel  Gomez,Nestle Kit Kat Cone,2,391,782,Delhi,,,Sunday
11/24/2013,Brooke  Horton,Nestle Toffee Crumble,1,357,357,Nainital,,,Sunday
11/24/2013,Pauline  Beck,Nestle Smarties Pop-Up,1,336,336,Pune,,,Sunday
11/24/2013,Marion  Glover,Nestle Maxibon Cookie,3,476,1428,Durgapur,,,Sunday
11/24/2013,Mable  Lindsey,Nestle Smarties Pop-Up,2,127,254,Ahmedabad,,,Sunday
11/24/2013,Guillermo  Potter,Nestle Smarties Pop-Up,1,366,366,Nainital,,,Sunday
11/24/2013,Iris  Underwood,Nestle Rowntree Fruit Pastil,3,224,672,Pune,,,Sunday
11/24/2013,Cindy  Becker,Nestle Smarties Pop-Up,2,473,946,Bangalore,,,Sunday
11/24/2013,Eddie  Green,Nestle Maxibon Cookie,1,280,280,Durgapur,,,Sunday
11/24/2013,Lynette  Brewer,Nestle Rowntree Fruit Pastil,2,400,800,Varanasi,,,Sunday
11/24/2013,Rachel  Gomez,Nestle Nobbly Bobbly,2,492,984,Delhi,,,Sunday
11/24/2013,Shari  Silva,Nestle Nobbly Bobbly,3,101,303,Mysore,,,Sunday
11/24/2013,Cassandra  Franklin,Nestle Maxibon Cookie,3,135,405,Delhi,,,Sunday
11/24/2013,Brooke  Horton,Nestle Milky Bar Stick,4,320,1280,Nainital,,,Sunday
11/24/2013,Bethany  Pena,Nestle Fab,2,468,936,Nagpur,,,Sunday
11/24/2013,Isabel  Cross,Nestle Nobbly Bobbly,3,270,810,Ranchi,,,Sunday
11/24/2013,Ernest  Davis,Nestle Maxibon Cookie,2,262,524,Mumbai,,,Sunday
11/24/2013,Peter  Hodges,Nestle Milky Bar Stick,3,250,750,Shimla,,,Sunday
11/24/2013,Charlie  Wood,Nestle Aero Mint Potz,1,155,155,Agra,,,Sunday
11/24/2013,Marian  Hill,Nestle Fab,2,112,224,Trivandrum,,,Sunday
11/24/2013,Allan  Ramos,Nestle Rowntree Screamers,2,263,526,Jodhpur,,,Sunday
11/24/2013,Cassandra  Franklin,Nestle Kit Kat Cone,3,144,432,Delhi,,,Sunday
11/24/2013,Lance  Yates,Nestle Rowntree Fruit Pastil,3,441,1323,Srinagar,,,Sunday
11/24/2013,Jenny  Garcia,Nestle Kit Kat Cone,1,151,151,Shimla,,,Sunday
11/24/2013,Ellen  Weaver,Nestle Milky Bar Stick,2,247,494,Hyderabad,,,Sunday
11/24/2013,Shari  Silva,Nestle Toffee Crumble,2,423,846,Mysore,,,Sunday
11/24/2013,Pauline  Beck,Nestle Fab,3,108,324,Pune,,,Sunday
11/24/2013,Austin  Reynolds,Nestle Fab,12,282,3384,Kolkata,,,Sunday
11/24/2013,Robert  Munoz,Nestle Milky Bar Stick,3,278,834,Delhi,,,Sunday
11/24/2013,Jenny  Garcia,Nestle Rowntree Fruit Pastil,7,203,1421,Shimla,,,Sunday
11/24/2013,Jenny  Garcia,Nestle Smarties Pop-Up,3,324,972,Shimla,,,Sunday
11/24/2013,Don  Gonzales,Nestle Fab,3,481,1443,Mysore,,,Sunday
11/24/2013,Edwin  Malone,Nestle Smarties Pop-Up,1,204,204,Kolkata,,,Sunday
11/24/2013,Brooke  Horton,Nestle Nobbly Bobbly,3,105,315,Nainital,,,Sunday
11/24/2013,Robert  Munoz,Nestle Toffee Crumble,9,489,4401,Delhi,,,Sunday
11/24/2013,Lynette  Brewer,Nestle Fab,1,316,316,Varanasi,,,Sunday
11/24/2013,Jenny  Garcia,Nestle Rowntree Fruit Pastil,1,297,297,Shimla,,,Sunday
11/24/2013,Trevor  Jones,Nestle Smarties Pop-Up,2,130,260,Pune,,,Sunday
11/24/2013,Allan  Ramos,Nestle Rowntree Fruit Pastil,3,461,1383,Jodhpur,,,Sunday
11/25/2013,Rachel  Gomez,Nestle Nobbly Bobbly,3,379,1137,Delhi,,,Monday
11/25/2013,Jenny  Garcia,Nestle Smarties Pop-Up,4,362,1448,Shimla,,,Monday
11/25/2013,Della  Jensen,Nestle Fab,1,267,267,Patna,,,Monday
11/25/2013,Cindy  Becker,Nestle Toffee Crumble,1,383,383,Bangalore,,,Monday
11/25/2013,Sandra  Floyd,Nestle Fab,25,466,11650,Nainital,,,Monday
11/25/2013,Jaime  Pearson,Nestle Smarties Pop-Up,1,128,128,Jodhpur,,,Monday
11/25/2013,Christina  Fuller,Nestle Smarties Pop-Up,2,400,800,Nagpur,,,Monday
11/25/2013,Bethany  Pena,Nestle Smarties Pop-Up,3,432,1296,Nagpur,,,Monday
11/25/2013,Trevor  Jones,Nestle Fab,1,214,214,Pune,,,Monday
11/25/2013,Salvador  Bass,Nestle Fab,2,218,436,Goa,,,Monday
11/25/2013,Lee  Mack,Nestle Fab,2,436,872,Delhi,,,Monday
11/25/2013,Max  Rodgers,Nestle Kit Kat Cone,2,120,240,Nagpur,,,Monday
11/25/2013,Rachel  Gomez,Nestle Fab,4,249,996,Delhi,,,Monday
11/25/2013,Joey  Wong,Nestle Milky Bar Stick,22,280,6160,Goa,,,Monday
11/25/2013,Max  Rodgers,Nestle Smarties Pop-Up,3,324,972,Nagpur,,,Monday
11/25/2013,Lee  Mack,Nestle Maxibon Cookie,1,390,390,Delhi,,,Monday
11/25/2013,Christina  Fuller,Nestle Aero Mint Potz,3,262,786,Nagpur,,,Monday
11/25/2013,Lee  Mack,Nestle Fab,2,271,542,Delhi,,,Monday
11/25/2013,Mable  Lindsey,Nestle Smarties Pop-Up,2,425,850,Ahmedabad,,,Monday
11/25/2013,Rachel  Gomez,Nestle Milky Bar Stick,2,137,274,Delhi,,,Monday
11/25/2013,Bernadette  Page,Nestle Milky Bar Stick,2,115,230,Delhi,,,Monday
11/25/2013,Johanna  Boone,Nestle Rolo Potz,3,244,732,Mysore,,,Monday
11/25/2013,Woodrow  Colon,Nestle Rowntree Fruit Pastil,20,482,9640,Cochin,,,Monday
11/25/2013,Brooke  Horton,Nestle Nobbly Bobbly,2,190,380,Nainital,,,Monday
11/25/2013,Max  Rodgers,Nestle Kit Kat Cone,4,465,1860,Nagpur,,,Monday
11/25/2013,Lance  Yates,Nestle Toffee Crumble,1,221,221,Srinagar,,,Monday
11/25/2013,Lance  Yates,Nestle Fab,1,202,202,Srinagar,,,Monday
11/25/2013,Shari  Silva,Nestle Fab,18,271,4878,Mysore,,,Monday
11/25/2013,Brooke  Horton,Nestle Rowntree Fruit Pastil,3,324,972,Nainital,,,Monday
11/25/2013,Christina  Fuller,Nestle Fab,2,493,986,Nagpur,,,Monday
11/25/2013,Austin  Reynolds,Nestle Aero Mint Potz,3,214,642,Kolkata,,,Monday
11/25/2013,Cindy  Becker,Nestle Fab,3,498,1494,Bangalore,,,Monday
11/25/2013,Trevor  Jones,Nestle Maxibon Cookie,3,281,843,Pune,,,Monday
11/25/2013,Kyle  Carr,Nestle Rowntree Fruit Pastil,2,370,740,Delhi,,,Monday
11/25/2013,Rachel  Gomez,Nestle Smarties Pop-Up,3,268,804,Delhi,,,Monday
11/25/2013,Cassandra  Franklin,Nestle Rolo Potz,18,304,5472,Delhi,,,Monday
11/25/2013,Austin  Reynolds,Nestle Milky Bar Stick,3,160,480,Kolkata,,,Monday
11/25/2013,Ernest  Davis,Nestle Rolo Potz,2,364,728,Mumbai,,,Monday
11/25/2013,Jenny  Garcia,Nestle Smarties Pop-Up,2,360,720,Shimla,,,Monday
11/25/2013,Elaine  Ellis,Nestle Aero Mint Potz,3,442,1326,Hyderabad,,,Monday
11/25/2013,Max  Rodgers,Nestle Aero Mint Potz,1,399,399,Nagpur,,,Monday
11/25/2013,Salvador  Bass,Nestle Maxibon Cookie,1,244,244,Goa,,,Monday
11/25/2013,Ellen  Weaver,Nestle Smarties Pop-Up,2,234,468,Hyderabad,,,Monday
11/25/2013,Willie  Vega,Nestle Rolo Potz,1,470,470,Delhi,,,Monday
11/25/2013,Lorraine  Gibson,Nestle Milky Bar Stick,2,315,630,Kolkata,,,Monday
11/25/2013,Elbert  Klein,Nestle Milky Bar Stick,2,190,380,Cochin,,,Monday
11/25/2013,Max  Rodgers,Nestle Smarties Pop-Up,2,203,406,Nagpur,,,Monday
11/25/2013,Robert  Munoz,Nestle Milky Bar Stick,2,238,476,Delhi,,,Monday
11/25/2013,Elbert  Klein,Nestle Smarties Pop-Up,2,499,998,Cochin,,,Monday
11/25/2013,Cecilia  Manning,Nestle Milky Bar Stick,2,357,714,Trivandrum,,,Monday
11/25/2013,Rachel  Gomez,Nestle Nobbly Bobbly,3,112,336,Delhi,,,Monday
11/25/2013,Isabel  Cross,Nestle Smarties Pop-Up,1,154,154,Ranchi,,,Monday
11/25/2013,Shari  Silva,Nestle Fab,1,127,127,Mysore,,,Monday
11/25/2013,Ellen  Weaver,Nestle Aero Mint Potz,3,416,1248,Hyderabad,,,Monday
11/25/2013,Lorraine  Gibson,Nestle Toffee Crumble,8,239,1912,Kolkata,,,Monday
11/25/2013,Cecilia  Manning,Nestle Aero Mint Potz,1,313,313,Trivandrum,,,Monday
11/25/2013,Willie  Vega,Nestle Aero Mint Potz,3,230,690,Delhi,,,Monday
11/25/2013,Isabel  Cross,Nestle Fab,2,228,456,Ranchi,,,Monday
11/25/2013,Marian  Hill,Nestle Aero Mint Potz,3,142,426,Trivandrum,,,Monday
11/25/2013,Beth  Tucker,Nestle Rowntree Fruit Pastil,3,495,1485,Pune,,,Monday
11/25/2013,Trevor  Jones,Nestle Fab,3,474,1422,Pune,,,Monday
11/25/2013,Robert  Munoz,Nestle Smarties Pop-Up,3,431,1293,Delhi,,,Monday
11/25/2013,Shari  Silva,Nestle Nobbly Bobbly,14,271,3794,Mysore,,,Monday
11/25/2013,Robert  Munoz,Nestle Smarties Pop-Up,18,360,6480,Delhi,,,Monday
11/25/2013,Donna  Reid,Nestle Aero Mint Potz,12,269,3228,Goa,,,Monday
11/26/2013,Shari  Silva,Nestle Milky Bar Stick,3,309,927,Mysore,,,Tuesday
11/26/2013,Austin  Reynolds,Nestle Fab,1,158,158,Kolkata,,,Tuesday
11/26/2013,Isabel  Cross,Nestle Rolo Potz,2,146,292,Ranchi,,,Tuesday
11/26/2013,Shari  Silva,Nestle Kit Kat Cone,1,209,209,Mysore,,,Tuesday
11/26/2013,Billie  Chandler,Nestle Aero Mint Potz,3,290,870,Surat,,,Tuesday
11/26/2013,Della  Jensen,Nestle Aero Mint Potz,3,286,858,Patna,,,Tuesday
11/26/2013,Elbert  Klein,Nestle Smarties Pop-Up,4,113,452,Cochin,,,Tuesday
11/26/2013,Trevor  Jones,Nestle Fab,2,182,364,Pune,,,Tuesday
11/26/2013,Charlie  Wood,Nestle Milky Bar Stick,1,107,107,Agra,,,Tuesday
11/26/2013,Ruben  Nunez,Nestle Kit Kat Cone,2,109,218,Ahmedabad,,,Tuesday
11/26/2013,Drew  Rogers,Nestle Smarties Pop-Up,18,413,7434,Delhi,,,Tuesday
11/26/2013,Blake  Bridges,Nestle Milky Bar Stick,3,413,1239,Cochin,,,Tuesday
11/26/2013,Eric  Rose,Nestle Fab,2,448,896,Mumbai,,,Tuesday
11/26/2013,Billie  Chandler,Nestle Fab,2,242,484,Surat,,,Tuesday
11/26/2013,Marian  Hill,Nestle Smarties Pop-Up,3,434,1302,Trivandrum,,,Tuesday
11/26/2013,Charlie  Wood,Nestle Smarties Pop-Up,3,312,936,Agra,,,Tuesday
11/26/2013,Elaine  Ellis,Nestle Toffee Crumble,2,383,766,Hyderabad,,,Tuesday
11/26/2013,Shari  Silva,Nestle Fab,1,463,463,Mysore,,,Tuesday
11/26/2013,Rachel  Gomez,Nestle Rowntree Fruit Pastil,1,312,312,Delhi,,,Tuesday
11/26/2013,Max  Rodgers,Nestle Smarties Pop-Up,2,315,630,Nagpur,,,Tuesday
11/26/2013,Cassandra  Franklin,Nestle Milky Bar Stick,3,279,837,Delhi,,,Tuesday
11/26/2013,Elvira  Bowman,Nestle Smarties Pop-Up,2,394,788,Srinagar,,,Tuesday
11/26/2013,Austin  Reynolds,Nestle Rowntree Screamers,2,332,664,Kolkata,,,Tuesday
11/26/2013,Cindy  Becker,Nestle Maxibon Cookie,3,203,609,Bangalore,,,Tuesday
11/26/2013,Colleen  Warren,Nestle Fab,2,478,956,Ahmedabad,,,Tuesday
11/26/2013,Beth  Tucker,Nestle Milky Bar Stick,2,249,498,Pune,,,Tuesday
11/26/2013,Sonya  Mullins,Nestle Maxibon Cookie,2,326,652,Kolkata,,,Tuesday
11/26/2013,Sylvester  Morales,Nestle Smarties Pop-Up,1,172,172,Mumbai,,,Tuesday
11/26/2013,Mable  Lindsey,Nestle Aero Mint Potz,1,197,197,Ahmedabad,,,Tuesday
11/26/2013,Mable  Lindsey,Nestle Toffee Crumble,2,496,992,Ahmedabad,,,Tuesday
11/26/2013,Shari  Silva,Nestle Rowntree Screamers,12,374,4488,Mysore,,,Tuesday
11/26/2013,Woodrow  Colon,Nestle Toffee Crumble,1,427,427,Cochin,,,Tuesday
11/26/2013,Jenny  Garcia,Nestle Rolo Potz,2,325,650,Shimla,,,Tuesday
11/26/2013,Shari  Silva,Nestle Fab,3,204,612,Mysore,,,Tuesday
11/26/2013,Marian  Hill,Nestle Nobbly Bobbly,2,252,504,Trivandrum,,,Tuesday
11/26/2013,Mable  Lindsey,Nestle Aero Mint Potz,1,121,121,Ahmedabad,,,Tuesday
11/26/2013,Isabel  Cross,Nestle Maxibon Cookie,2,422,844,Ranchi,,,Tuesday
11/26/2013,Jenny  Garcia,Nestle Smarties Pop-Up,3,462,1386,Shimla,,,Tuesday
11/26/2013,Eric  Rose,Nestle Milky Bar Stick,3,385,1155,Mumbai,,,Tuesday
11/26/2013,Mable  Lindsey,Nestle Rowntree Screamers,1,171,171,Ahmedabad,,,Tuesday
11/26/2013,Bobbie  Ryan,Nestle Toffee Crumble,2,387,774,Darjeeling,,,Tuesday
11/26/2013,Eddie  Green,Nestle Toffee Crumble,1,109,109,Durgapur,,,Tuesday
11/26/2013,Isabel  Cross,Nestle Toffee Crumble,3,127,381,Ranchi,,,Tuesday
11/26/2013,Don  Gonzales,Nestle Rolo Potz,2,175,350,Mysore,,,Tuesday
11/26/2013,Edwin  Malone,Nestle Smarties Pop-Up,1,205,205,Kolkata,,,Tuesday
11/26/2013,Ruben  Nunez,Nestle Smarties Pop-Up,1,167,167,Ahmedabad,,,Tuesday
11/26/2013,Della  Jensen,Nestle Fab,3,303,909,Patna,,,Tuesday
11/26/2013,Ruben  Nunez,Nestle Smarties Pop-Up,2,299,598,Ahmedabad,,,Tuesday
11/26/2013,Kyle  Carr,Nestle Milky Bar Stick,3,377,1131,Delhi,,,Tuesday
11/26/2013,Patty  Thompson,Nestle Milky Bar Stick,1,177,177,Mumbai,,,Tuesday
11/26/2013,Guillermo  Potter,Nestle Nobbly Bobbly,4,440,1760,Nainital,,,Tuesday
11/26/2013,Austin  Reynolds,Nestle Aero Mint Potz,1,482,482,Kolkata,,,Tuesday
11/26/2013,Jenny  Garcia,Nestle Smarties Pop-Up,2,198,396,Shimla,,,Tuesday
11/27/2013,Billie  Chandler,Nestle Smarties Pop-Up,2,304,608,Surat,,,Wednesday
11/27/2013,Rachel  Gomez,Nestle Aero Mint Potz,2,496,992,Delhi,,,Wednesday
11/27/2013,Robert  Munoz,Nestle Kit Kat Cone,2,145,290,Delhi,,,Wednesday
11/27/2013,Cecilia  Manning,Nestle Aero Mint Potz,3,278,834,Trivandrum,,,Wednesday
11/27/2013,Eric  Rose,Nestle Toffee Crumble,3,177,531,Mumbai,,,Wednesday
11/27/2013,Max  Rodgers,Nestle Rolo Potz,2,203,406,Nagpur,,,Wednesday
11/27/2013,Mable  Lindsey,Nestle Maxibon Cookie,2,158,316,Ahmedabad,,,Wednesday
11/27/2013,Edwin  Malone,Nestle Smarties Pop-Up,2,490,980,Kolkata,,,Wednesday
11/27/2013,Brooke  Horton,Nestle Rowntree Fruit Pastil,2,281,562,Nainital,,,Wednesday
11/27/2013,Cassandra  Franklin,Nestle Smarties Pop-Up,6,253,1518,Delhi,,,Wednesday
11/27/2013,Brooke  Horton,Nestle Aero Mint Potz,20,377,7540,Nainital,,,Wednesday
11/27/2013,Ernest  Davis,Nestle Smarties Pop-Up,4,293,1172,Mumbai,,,Wednesday
11/27/2013,Felicia  Jennings,Nestle Fab,2,185,370,Pune,,,Wednesday
11/27/2013,Max  Rodgers,Nestle Toffee Crumble,2,149,298,Nagpur,,,Wednesday
11/27/2013,Cindy  Becker,Nestle Smarties Pop-Up,3,460,1380,Bangalore,,,Wednesday
11/27/2013,Peter  Hodges,Nestle Smarties Pop-Up,2,492,984,Shimla,,,Wednesday
11/27/2013,Shari  Silva,Nestle Rowntree Fruit Pastil,3,227,681,Mysore,,,Wednesday
11/27/2013,Shari  Silva,Nestle Milky Bar Stick,2,411,822,Mysore,,,Wednesday
11/27/2013,Paulette  Spencer,Nestle Rowntree Fruit Pastil,1,326,326,Hyderabad,,,Wednesday
11/27/2013,Marion  Glover,Nestle Rolo Potz,2,338,676,Durgapur,,,Wednesday
